case_id,title,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
NS-001,PC cannot ping server in same VLAN,PC1 gets an IP but cannot reach Server1.,PC1 is on Fa0/1, Server1 is on Fa0/2. Both should be VLAN 10.,"Switch# show vlan brief
1    default                          active    Fa0/3, Fa0/4
10   Servers                          active    Fa0/1
20   Clients                          active    Fa0/2",PC and Server are in different VLANs (Fa0/2 is in VLAN 20 instead of 10),Layer 2,VLAN,Medium,show interfaces status,Reassign Fa0/2 to VLAN 10 using 'switchport access vlan 10'.
NS-002,Missing VLAN on switch,Users report no network access.,PC is connected to Fa0/1 configured for VLAN 30.,"Switch# show vlan brief
1    default                          active    Fa0/2, Fa0/3
10   Servers                          active    
20   Clients                          active    ",VLAN 30 does not exist in the VLAN database.,Layer 2,VLAN,High,show running-config interface fa0/1,Create VLAN 30 using 'vlan 30'.
NS-003,VLAN interface is down,Cannot route between VLANs.,Router is doing router-on-a-stick. VLAN 10 and 20 configured.,"Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up",Subinterface Gi0/0.10 is administratively down.,Layer 1/2,Interface Status,High,show running-config interface gi0/0.10,Run 'no shutdown' on interface Gi0/0.10.
NS-004,Native VLAN mismatch,CDP errors and spanning tree issues.,Switch1 connected to Switch2 via trunk.,"Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

Switch2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      99",Native VLAN mismatch on trunk link (1 vs 99).,Layer 2,Trunking,Medium,show cdp neighbors detail,Configure native VLAN to match on both ends.
NS-005,Incorrect Default Gateway on PC,PC1 can ping local devices but cannot reach the internet.,PC1 is on 192.168.1.0/24. Router IP is 192.168.1.1.,"C:\> ipconfig
IPv4 Address. . . . . . . . . . . : 192.168.1.10
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 192.168.1.254",PC is configured with the wrong default gateway.,Layer 3,Default Gateway,High,ping 192.168.1.1,Change default gateway on PC to 192.168.1.1.
NS-006,Missing Default Gateway on Switch,Cannot manage the switch from a remote subnet.,Switch management IP is 10.0.0.2.,"Switch# show run | include default-gateway
(no output)",Switch lacks 'ip default-gateway' configuration.,Layer 3,Management,Low,show running-config,Configure 'ip default-gateway 10.0.0.1' on the switch.
NS-007,Gateway mismatch in DHCP pool,Clients get IP but cannot browse.,DHCP server configured on Router.,"Router# show run | section dhcp
ip dhcp pool CLIENTS
 network 172.16.0.0 255.255.255.0
 default-router 172.16.1.1",Default router in DHCP pool is outside the subnet.,Layer 3,DHCP,Medium,show ip dhcp binding,Change default-router in DHCP pool to 172.16.0.1.
NS-008,DHCP Exhaustion,New PCs cannot get an IP address.,Subnet has 50 users. Pool is 192.168.1.0/24.,"Router# show ip dhcp binding
(Outputs 253 bindings)
Router# show ip dhcp pool
Pool CLIENTS : 
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0 
 Total addresses                : 254
 Leased addresses               : 253",DHCP pool is exhausted.,Layer 3,DHCP,High,show ip dhcp pool,Expand the DHCP pool or reduce lease times.
NS-009,Missing IP helper-address,PCs on VLAN 20 do not get DHCP addresses.,DHCP server is on VLAN 10.,"Router# show run int vlan 20
interface Vlan20
 ip address 192.168.20.1 255.255.255.0
!",No ip helper-address configured on the relay interface.,Layer 3,DHCP Relay,High,show ip interface vlan 20,Add 'ip helper-address <DHCP_SERVER_IP>' to Vlan20 interface.
NS-010,Excluded addresses conflict,Duplicate IP address warnings on network.,Router DHCP server issues IPs.,"Router# show run | include exclude
ip dhcp excluded-address 192.168.1.1 192.168.1.5",Static IPs 192.168.1.10-20 are not excluded and are being handed out.,Layer 3,DHCP,Medium,show ip dhcp conflict,Add 'ip dhcp excluded-address' for the static IP ranges.
NS-011,Missing DNS Server,Users can ping 8.8.8.8 but cannot open websites.,PC configured via static IP.,"C:\> ipconfig /all
IPv4 Address: 192.168.1.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.1
DNS Servers: ",No DNS server configured.,Layer 7,DNS,High,nslookup google.com,Configure DNS server IP on the PC.
NS-012,Wrong DNS IP in DHCP,Clients cannot resolve names.,DHCP server on router.,"Router# show run | section dhcp
ip dhcp pool LAN
 network 10.10.10.0 255.255.255.0
 dns-server 10.10.11.1",DNS server IP is a typo, should be 10.10.10.1.,Layer 7,DNS,Medium,ping 10.10.11.1,Update the dns-server command in the DHCP pool.
